case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070707070608,0.0,3.0,71.0,,10663101.996989,0,1.0,2.0,1.0,0,0,30,0.0,205.0,0.0,28.6,0,0,,,2007
20070707070639,0.0,3.0,72.0,,6876973.334991001,0,1.0,2.0,2.0,0,0,50,0.0,220.0,0.0,29.8,0,0,,,2007
20070707070649,0.0,4.0,63.0,,15112308.712766001,0,1.0,3.0,2.0,30,160,100,1.0,200.0,1.0,35.4,0,0,"10,15",,2007
20070707070668,0.0,3.0,,1.0,4278355.068078,1,2.0,1.0,1.0,0,0,90,0.0,98.0,0.0,,0,0,,,2007
20070707070679,0.0,5.0,69.0,2.0,27148151.710872002,4,2.0,3.0,2.0,0,0,60,0.0,165.0,0.0,24.4,0,0,,,2007
20070707070684,0.0,3.0,68.0,,8598008.819574,2,1.0,2.0,3.0,120,535,75,1.0,138.0,1.0,21.0,0,0,"9,12",,2007
20070707070696,0.0,4.0,74.0,,2268295.078487,1,1.0,2.0,2.0,0,0,75,0.0,230.0,0.0,29.5,0,0,,,2007
20070707070709,0.0,3.0,63.0,,5481631.209009999,0,1.0,1.0,1.0,0,0,75,0.0,150.0,0.0,26.6,0,0,,,2007
20070707070710,0.0,3.0,62.0,,1586230.697968,0,1.0,1.0,1.0,0,0,138,0.0,129.0,0.0,23.6,0,0,,,2007
20070707070716,0.0,3.0,68.0,,5201382.40904,0,1.0,2.0,2.0,15,0,120,0.0,260.0,1.0,39.5,0,0,16,,2007
20070707070722,0.0,3.0,62.0,1.0,9559776.460297,0,2.0,1.0,3.0,30,0,90,0.0,110.0,1.0,20.1,0,0,"6,10,16",,2007
20070707070730,0.0,5.0,72.0,,6279908.356252,1,1.0,1.0,1.0,0,0,195,0.0,140.0,0.0,19.0,0,0,,,2007
20070707070735,0.0,3.0,63.0,2.0,3098223.898612,0,2.0,1.0,1.0,0,0,105,0.0,200.0,0.0,35.4,0,0,,,2007
20070707070748,0.0,4.0,58.0,,6523293.92797,0,1.0,1.0,1.0,0,0,25,0.0,114.0,0.0,23.8,0,0,,,2007
20070707070756,0.0,4.0,65.0,1.0,2588983.1761459997,2,2.0,3.0,1.0,0,0,35,0.0,200.0,0.0,33.3,0,0,,,2007
20070707070763,0.0,2.0,61.0,1.0,2854323.718866,0,2.0,1.0,1.0,33,0,55,0.0,165.0,1.0,31.2,0,0,"8,14",,2007
20070707070767,0.0,4.0,64.0,,13370859.686828999,0,1.0,1.0,1.0,120,315,60,1.0,195.0,1.0,33.5,0,0,"9,11,12",,2007
20070707070774,0.0,5.0,67.0,1.0,25912184.91158,2,1.0,3.0,3.0,25,10,120,1.0,165.0,1.0,25.8,0,0,"8,8,9",,2007
20070707070803,0.0,4.0,66.0,,2481500.595443,1,1.0,2.0,1.0,75,135,80,1.0,160.0,1.0,25.8,0,0,"4,12,16,16",,2007
20070707070808,0.0,3.0,69.0,,2981674.723405,2,1.0,3.0,3.0,2,100,100,1.0,143.0,1.0,21.1,0,0,"16,17,18,18",,2007
20070707070810,0.0,5.0,70.0,,2641958.377798,2,1.0,1.0,1.0,5,10,150,1.0,179.0,1.0,25.7,0,0,"12,12",,2007
20070707070813,0.0,4.0,61.0,,5146944.920008999,4,1.0,1.0,1.0,120,765,0,1.0,142.0,1.0,26.8,0,0,"9,10,10",,2007
20070707070820,0.0,4.0,69.0,,9016720.571139,2,1.0,2.0,2.0,0,0,70,0.0,165.0,0.0,24.4,0,0,,,2007
20070707070826,0.0,2.0,60.0,2.0,3225766.935642,0,2.0,1.0,1.0,0,0,60,0.0,110.0,0.0,21.5,0,0,,,2007
